Image on Hard drive ,035$a,040$a,040$c,041$a,041$h,090$a,Index,Additional physical form available note,CONTRIBUTOR,CREATOR,Call_Number,Corporate Name,DATE,DESCRIPTION,Date,Dimensions,Extent,FORMAT,General Notes,IDENTIFIER,Information Recording Technique,Jurisdiction,LANGUAGE,Language,Language code text,Linking entry complexity note,Location Within Medium,Material,Material Applied to Surface,Nonspecific relationship entry,Other Physical Detail,Personal Name,Provenance,RELATION,RIGHTS,SUBJECT,TITLE,Terms governing use,Title Statement,Topical term,Uniform Resource Identifier for facsimile,Uniform Resource Identifier for record,Uniform Title,Varying Form of Title,090$i,100$a,100$c,100$d,130$a,130$k,130$l,130$p,240$a,240$k,240$l,240$n,240$p,245$a,245$b,245$h,245$k,246$a,246$c,260$a,260$c,300$a,300$b,340$a,340$b,340$c,340$d,340$h,500$a,501$a,505$a,510$a,510$c,530$a,540$a,540$b,541$5,541$a,544$a,546$a,546$b,561$5,561$C,561$a,561$k,562$a,580$a,600$a,600$d,600$t,600$v,600$x,610$a,610$x,630$a,630$e,630$k,630$p,630$v,630$x,630$z,650$a,650$v,650$x,650$y,650$z,700$4,700$c,700$k,700$n,710$5,710$a,710$k,710$n,730$a,730$k,730$l,730$p,740$a,773$a,778$a,778$t,787$a,787$t,856$u,856$z
Y,(PU)gen000001,PU-CJS,PU-CJS,,,Halper 001,95,Online version available.,,,Halper 001,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,,,"[Orient, 11th century-12 century?]",18.7 X 18.2 cm,1 fol.,,"The beginning of the weekly portion ?? is signified in the margin with the decorated heading: ""???""; subdivision into sidra also appears within the written column, signified by the word ????.Contains VI 5 ????- VII 3 ?????.",,ruling method:,,,"Hebrew. Hebrew, Oriental, square, Vocalization and cantillation (Tiberian).",,Forms part of: Cairo Genizah Collection.,"columns: 2

lines: 17.",Parchment,black ink,"


",orn. dev.; losses along all edges except upper; parts of verses VI 13-16 in missing corner of recto.,,"Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).

Y.M.H.A.",,,,,,"[Genesis 6:5-7:3, with Masorah magna and parva] :","Masorah. 
			",http://hdl.library.upenn.edu/1017.4/2006,http://hdl.library.upenn.edu/1017.4/2006-record,,"Bereshit 6:5-7:3, with Masorah magna and parva",09/17/02 EC,,,,Bible.,,Hebrew.,"O.T. Genesis VI, 5- VII, 3.",,,,,,"[Genesis 6:5-7:3, with Masorah magna and parva] :",,,manuscript.,"Bereshit 6:5-7:3, with Masorah magna and parva",,"[Orient,",11th century-12 century?],1 fol. :,orn. dev.; losses along all edges except upper; parts of verses VI 13-16 in missing corner of recto.,Parchment,18.7 X 18.2 cm,material applied: black ink,ruling method:,columns: 2 lines: 17.,"The beginning of the weekly portion נח is signified in the margin with the decorated heading: ""פרש""; subdivision into sidra also appears within the written column, signified by the word סדור.;Contains VI 5 היום- VII 3 ונקבה.",,,"Halper,;IMHM,",no. 1;no. F38399 p. 12,Online version available.,,,,,,Hebrew.,Hebrew;Oriental;square;Vocalization and cantillation (Tiberian).,PU-CJS,,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).;Y.M.H.A.,,,Forms part of: Cairo Genizah Collection.,,,,,,,,,,,,,,,Masorah.,,,,,,,,,PU-CJS,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,Manuscript.,Halper 1.,Masorah magna.;Masorah parva.,,,"Genesis VI, 5-VII, 3.;Genesis VI, 5-VII, 3.",,Cairo Genizah Collection,,,,,,
Y,(PU)gen000002,PU-CJS,PU-CJS,,,Halper 002,96,Online version available.,,,Halper 002,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,,,"[Orient, 10th century or 11th century?]",20.3 X 20.9 cm,3 fols. :,,,,ruling method: left rule occasionally justified by stretching last character,,,"Hebrew. Hebrew
Oriental
square
vocalization and cantillation (Tiberian).",,Forms part of: Cairo Genizah Collection.,"columns: 2

lines: 17.",Parchment,material applied: black ink,"


","Consecutive; 1-8 lines lacking at lower exterior corner, and at upper edge.",,"Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).

Cairo Genizah Collection (Dropsie College. Library).

Amram.",,,,,,"[Genesis 10:14-12:15, with Masorah magna and parva] :","Masorah. 
			",http://hdl.library.upenn.edu/1017.4/2007,http://hdl.library.upenn.edu/1017.4/2007-record,,"Bereshit 10:14-12:15, with Masorah magna and parva",09/17/02 EC,,,,Bible.,,Hebrew.,"O.T. Genesis X, 14-XII, 15.",,,,,,"[Genesis 10:14-12:15, with Masorah magna and parva] :",,,manuscript.,"Bereshit 10:14-12:15, with Masorah magna and parva",,"[Orient,",10th century or 11th century?],3 fols. :,"Consecutive; 1-8 lines lacking at lower exterior corner, and at upper edge.",Parchment,20.3 X 20.9 cm,material applied: black ink,ruling method: left rule occasionally justified by stretching last character,columns: 2 lines: 17.,,,Fol. [1r]: Genesis 10:14 (ואת־פתרסים) - Genesis 10:27 ([…]) -- Fol. [1v]: Genesis 10:28 (ואת־עובל) - Genesis 11:6 (אשר יזמו). ; Fol. [2r]: Genesis 11:6 (לעשות׃) - Genesis 11:17 (הולידו) -- Fol. [2v] Genesis 11:17 (את־פלג) - Genesis 11:29 (ויקח).; Fol. [3r]: Genesis 11:29 (אברם ונחור) - Genesis 12:5 (בחרן ויצאו) -- Fol. [3v] Genesis 12:5 (ללכת ארצה)  - Genesis 12:15 (ויראו).,"Halper,;IMHM,",no. 2;no. F38399,Online version available.,,,,,,Hebrew.,Hebrew;Oriental;square;vocalization and cantillation (Tiberian).,PU-CJS,,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).;Cairo Genizah Collection (Dropsie College. Library).;Amram.,,,Forms part of: Cairo Genizah Collection.,,,,,,,,,,,,,,,Masorah.,,,,,,,,,PU-CJS,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,Manuscript.,Halper 2.,Masorah magna.;Masorah parva.,,,"Genesis X, 14-XII, 15.;Genesis X, 14-XII, 15.",,Cairo Genizah Collection,,,,,,
Y,(PU)gen000475,PU-CJS,PU-CJS,,,Halper 003,97,,,,Halper 003,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,,,[Orient],40 X 19 cm,1 fols.:,,"Fragment from a Torah scroll, written on one side of a parchment sheet.Contains Genesis XIV 24, the first legible word is ??????, the column ends at XV 18 ????; edge of the next column is partially extant, including Gen. XVII 7-13.",,ruling method:,,,"Hebrew. Hebrew
Oriental
square
vocalization (Tiberian).",,Forms part of: Cairo Genizah Collection.,"columns: 2 (extant)

lines: col.1: 34; col.2: 13.",Parchment,material applied: black ink,"


",.,,"Cairo Genizah Collection (Dropsie College. Library).

Amram.",,,,,,"[Torah Scroll, Bereshit 14:24-15:18] :","Torah scrolls. 
			",http://hdl.library.upenn.edu/1017.4/2008,http://hdl.library.upenn.edu/1017.4/2008-record,,,11/04/02 EC,,,,Bible.,,Hebrew.,"O.T. Genesis X, 14-XII, 15).",,,,,,"[Torah Scroll, Bereshit 14:24-15:18] :",,,manuscript.,,,[Orient],,1 fols.:,.,Parchment,40 X 19 cm,material applied: black ink,ruling method:,columns: 2 (extant) lines: col.1: 34; col.2: 13.,"Fragment from a Torah scroll, written on one side of a parchment sheet.;Contains Genesis XIV 24, the first legible word is האנשים, the column ends at XV 18 הזאת; edge of the next column is partially extant, including Gen. XVII 7-13.",,Genesis 14:24 - Genesis 15:18.,"Halper,;IMHM,",no. 3;no. F38399*,,,,,,,Hebrew.,Hebrew;Oriental;square;vocalization (Tiberian).,,,Cairo Genizah Collection (Dropsie College. Library).;Amram.,,,Forms part of: Cairo Genizah Collection.,,,,,,,,,,,,,,,Torah scrolls.,,,,,,,,,PU-CJS,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,Manuscript.,Halper 3.,,,,,,Cairo Genizah Collection,,,,,,
Y,(PU)gen000003,PU-CJS,PU-CJS,,,Halper 004,98,Online version available.,,,Halper 004,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,,,"[Orient, 10th century or 11 century?]",21.9 X 33 cm,2 fols. :,,"Readings vary in orthography and vocalization from standard Masoretic text, and errant copy that has been corrected. The beginning of the weekly portion ???? (Va-yetse, Genesis 28:10 - 32:3) is marked in  margin with the decorated heading ""???"".",,ruling method:,,,"Hebrew. Hebrew

Oriental
square
vocalization and cantillation (Tiberian).",,Forms part of: Cairo Genizah Collection.,"columns: 3

lines: 12, 13, 16 (1r); 17, 13, 11 (1v); 17, 17, 15 (2r); 15, 17, 16 (2v); (of 26?).",Parchment,material applied: black ink,"


",orn. dev.; consecutive.,,"Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).

Cairo Genizah Collection (Dropsie College. Library).

Sulzberger.",,,,,,"[Genesis 27:7-30:16, with Masorah magna and parva] :","Masorah. 
			",http://hdl.library.upenn.edu/1017.4/2010,http://hdl.library.upenn.edu/1017.4/2010-record,,"Bereshit 27:7-30:16, with Masorah magna and parva",09/17/02 EC,,,,Bible.,,Hebrew.,"O.T. Genesis XXVII, 7-XXX, 16.",,,,,,"[Genesis 27:7-30:16, with Masorah magna and parva] :",,,manuscript.,"Bereshit 27:7-30:16, with Masorah magna and parva",,"[Orient,",10th century or 11 century?],2 fols. :,orn. dev.; consecutive.,Parchment,21.9 X 33 cm,material applied: black ink,ruling method:,"columns: 3 lines: 12, 13, 16 (1r); 17, 13, 11 (1v); 17, 17, 15 (2r); 15, 17, 16 (2v); (of 26?).","Readings vary in orthography and vocalization from standard Masoretic text, and errant copy that has been corrected.; The beginning of the weekly portion ויצא (Va-yetse, Genesis 28:10 - 32:3) is marked in  margin with the decorated heading ""פרש"".",,Fol. [1r]: col. 1 - Genesis 27:7 (ואכלה ואברככה) --  col. 2 - Genesis 27:19 (יעקוב אל אביו) --  col. 3 - Genesis 27:29 (לאחיך וישתחו).; Fol. [1v]: col. 1 - Genesis 27:37 (ואת־כל־אחיו) --  col. 2 - Genesis 27:35 (גם־שניהם) --  col. 3 - Genesis 28: 8 (רעות בנות).; Fol. [2r]: col. 1 - Genesis 28:15 (דברתי לך׃) --  col. 2 - Genesis 29:3 (שמה כל־העדרים) --  col. 3 - Genesis 29:13 (לאהבה׃).; Fol. [2v]: col. 1 - Genesis 29:23 (אתם אליו) --  col. 2 - Genesis 29:34 (ותהר עוד) --  col. 3 - Genesis 30:12 (ליעקוב׃).,"Halper,;IMHM,",no. 4;no. F38399,Online version available.,,,,,,Hebrew.,Hebrew;;Oriental;square;vocalization and cantillation (Tiberian).,PU-CJS,,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).;Cairo Genizah Collection (Dropsie College. Library).;Sulzberger.,,,Forms part of: Cairo Genizah Collection.,,,,,,,,,,,,,,,Masorah.,,,,,,,,,PU-CJS,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,Manuscript.,Halper 4.,Masorah magna.;Masorah parva.,,,"Genesis XXVII, 7- XXX, 16.;Genesis XXVII, 7- XXX, 16.",,Cairo Genizah Collection,,,,,,
Y,(PU)gen000004,PU-CJS,PU-CJS,,,Halper 005,99,Online version available.,,,Halper 005,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,,,"[Sefarad, 11th century or 12th century?]",24.8 X 20.1 cm,2 fols. (bifolium: recto=1r|2v; verso=2r|1v) :,,"There are a few variants in orthography and vocalization, some of which are probably errant.",,ruling method: left rule justified by stretching last character,,,"Hebrew. Hebrew
Sefardic
square
vocalization and partial cantillation (Tiberian).",,Forms part of: Cairo Genizah Collection.,"columns: 2

lines: 22.",Parchment,material applied: black ink,"


","attached, non-consecutive; damage at lower edge; written area intact.",,"Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).

Cairo Genizah Collection (Dropsie College. Library).

Sulzberger.",,,,,,[Genesis 37:9-35; Genesis 41:24-50] :,,http://hdl.library.upenn.edu/1017.4/2011,http://hdl.library.upenn.edu/1017.4/2011-record,,,09/17/02 EC,,,,Bible.,,Hebrew.,"O.T. Genesis XXXVII, 9-35.",,,,,,[Genesis 37:9-35; Genesis 41:24-50] :,,,manuscript.,,,"[Sefarad,",11th century or 12th century?],2 fols. (bifolium: recto=1r|2v; verso=2r|1v) :,"attached, non-consecutive; damage at lower edge; written area intact.",Parchment,24.8 X 20.1 cm,material applied: black ink,ruling method: left rule justified by stretching last character,columns: 2 lines: 22.,"There are a few variants in orthography and vocalization, some of which are probably errant.",,Fol. [1r (=1 left)]: Genesis 37:9 (עוד והנה) -- Fol. [1v (=2 right)]: Genesis 37:22 (הציל אתו מידם).; Fol. [2r (=2 left)]: Genesis 41:24 (את שבע השבלים) -- Fol.  [2v (=1 right)]: Genesis 41:36 (תכרת הארץ ברעב׃).,"Halper,;IMHM,",no. 5;no. F38399,Online version available.,,,,,,Hebrew.,Hebrew;Sefardic;square;vocalization and partial cantillation (Tiberian).,PU-CJS,,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).;Cairo Genizah Collection (Dropsie College. Library).;Sulzberger.,,,Forms part of: Cairo Genizah Collection.,,,,,,,,,,,,,,,,,,,,,,,,PU-CJS,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,Manuscript.,Halper 5.,Bible.,,Hebrew.,"O.T.;Genesis XLI, 24-50.",,Cairo Genizah Collection,,,,,,
Y,(PU)gen000005,PU-CJS,PU-CJS,,,Halper 006,100,Online version available.,,,Halper 006,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,,,"[Sefarad, 12th century?]",24.8 X 16.4 cm,1 fol. :,,,,ruling method:,,,"Hebrew. Hebrew
Sephardic
square
vocalization and partial cantillation (Tiberian).",,Forms part of: Cairo Genizah Collection.,"lines:

columns: 2 (left rule is justified by stretching the last character)

lines: 13 (recto).",Paper,material applied: black ink,"


","damaged in the interior and exterior edges, including slight damage in written area.",,"Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).

Cairo Genizah Collection (Dropsie College. Library).

Sulzberger.",,,,,,[Leviticus 1:9-17] :,,http://hdl.library.upenn.edu/1017.4/2012,http://hdl.library.upenn.edu/1017.4/2012-record,,V?a-yik?ra 1:9-17,09/17/02 EC,,,,Bible.,,Hebrew.,"O.T. Leviticus I, 9-17.",,,,,,[Leviticus 1:9-17] :,,,manuscript.,Ṿa-yiḳra 1:9-17,,"[Sefarad,",12th century?],1 fol. :,"damaged in the interior and exterior edges, including slight damage in written area.",Paper,24.8 X 16.4 cm,material applied: black ink,ruling method:,lines: columns: 2 (left rule is justified by stretching the last character);lines: 13 (recto).,,,Fol. [1r]: Leviticus 1:9 (עלה אשה ריח־ניחוח ליהוה׃)  -- Fol. [1v]: Leviticus 1:17 (אשה ריח ניחוח ליהוה׃).,"Halper,;IMHM ,",no. 6.;no. F38399,Online version available.,,,,,,Hebrew.,Hebrew;Sephardic;square;vocalization and partial cantillation (Tiberian).,PU-CJS,,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).;Cairo Genizah Collection (Dropsie College. Library).;Sulzberger.,,,Forms part of: Cairo Genizah Collection.,,,,,,,,,,,,,,,,,,,,,,,,PU-CJS,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,Manuscript.,Halper 6.,,,,,,Cairo Genizah Collection,,,,,,
Y,(PU)gen000006,PU-CJS,PU-CJS,,,Halper 007,101,Online version available.,,,Halper 007,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,,,"[Orient, 12th century?]",17.4 X 113 cm.,"4 fols. (2 bifolia, separated) : ",,Leviticus I 14 ?????? -III 3 ?? ????.,,unruled,,,"Hebrew. Oriental
square
sporadic vocalization (Tiberian).",,Forms part of: Cairo Genizah Collection.,"columns: 1

lines: 8 (1r); 9 (1v); 10 (2r); 9 (2v); 9 (3r); 9 (3v; last word, alone on left under line 9);  9 (4r; last word, alone on left under line 9);. 9-10.",Paper,material applied: black ink,"


","badly damaged; rough, non-professional hand, perhaps that of a child.",,"Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).

Cairo Genizah Collection (Dropsie College. Library).

Sulzberger.",,,,,,[Leviticus 1:14-3:3] :,,http://hdl.library.upenn.edu/1017.4/2013,http://hdl.library.upenn.edu/1017.4/2013-record,,V?a-yik?ra 1:14-3:3,09/17/02 EC,,,,Bible.,,Hebrew.,"O.T. Leviticus I, 14-III, 3.",,,,,,[Leviticus 1:14-3:3] :,,,manuscript.,Ṿa-yiḳra 1:14-3:3,,"[Orient,",12th century?],"4 fols. (2 bifolia, separated) :","badly damaged; rough, non-professional hand, perhaps that of a child.",Paper,17.4 X 113 cm.,material applied: black ink,unruled,"columns: 1 lines: 8 (1r); 9 (1v); 10 (2r); 9 (2v); 9 (3r); 9 (3v; last word, alone on left under line 9);  9 (4r; last word, alone on left under line 9);. 9-10.",Leviticus I 14 והקריב -III 3 על הקרב.,,,"Halper,;IMHM,",no. 7;no. F38399,Online version available.,,,,,,Hebrew.;Hebrew,Oriental;square;sporadic vocalization (Tiberian).,PU-CJS,,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).;Cairo Genizah Collection (Dropsie College. Library).;Sulzberger.,,,Forms part of: Cairo Genizah Collection.,,,,,,,,,,,,,,,,,,,,,,,,PU-CJS,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,Manuscript.,Halper 7.,,,,,,Cairo Genizah Collection,,,,,,
Y,(PU)gen000007,PU-CJS,PU-CJS,,,Halper 008,102,Online version available.,,,Halper 008,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,,,"[Orient, 11th century?]",12.4 X 8.8,"2 fols. (bifolio, separated) : ",,"Verse endings are signified by a colon; standard opened and closed parshiyot are maintained; beginning of weekly reading ????? signified in the exterior margin with a decorated heading ""???'"".Fol. 1 contains Leviticus XI 40 ?????- XII 7 ????. Fol. 2 contains XIII 26 ??? ?????- ibid. 42 ??? ??; many variants from the standard Masoretic text, most of them appear to be errant.",,"ruling method: ""poorly ruled""; left rule occasionally justified by a broken character",,,"Hebrew. Hebrew
Oriental
semi-square.",,,"columns: 1

lines: 21 (1r); 19 (1v); 21 (2r); 20 (2v).",Paper,material applied: black ink,"


","orn. dev.; complete, non-consecutive; marginalia.",,"Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).

Cairo Genizah Collection (Dropsie College. Library).

Sulzberger.",,,,,,[Leviticus 11:40-12:7; Leviticus 13:26-42] :,,http://hdl.library.upenn.edu/1017.4/2014,http://hdl.library.upenn.edu/1017.4/2014-record,,V?a-yik?ra 11:40-12:7; V?a-yik?ra 13:26-42,09/17/02 EC,,,,Bible.,,Hebrew.,"O.T. Leviticus XI, 40-XII, 7.",,,,,,[Leviticus 11:40-12:7; Leviticus 13:26-42] :,,,manuscript.,Ṿa-yiḳra 11:40-12:7; Ṿa-yiḳra 13:26-42,,"[Orient,",11th century?],"2 fols. (bifolio, separated) :","orn. dev.; complete, non-consecutive; marginalia.",Paper,12.4 X 8.8,material applied: black ink,"ruling method: ""poorly ruled""; left rule occasionally justified by a broken character",columns: 1 lines: 21 (1r); 19 (1v); 21 (2r); 20 (2v).,"Verse endings are signified by a sof pasuḳ; standard opened and closed parshiyot are maintained; beginning of weekly reading תזריע signified in the exterior margin with a decorated heading ""פרש'"".;Fol. 1 contains Leviticus XI 40 בגדיו- XII 7 דמיה. Fol. 2 contains XIII 26 ואם יראנה- ibid. 42 עמק מן; many variants from the standard Masoretic text, most of them appear to be errant.",,,"Halper,;IMHM,",no. 8;no. F38399,Online version available.,,,,,,Hebrew.,Hebrew;Oriental;semi-square.,PU-CJS,,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).;Cairo Genizah Collection (Dropsie College. Library).;Sulzberger.,,,,,,,,,,,,,,,,,,,,,,,,,,,PU-CJS,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,Manuscript.,Halper 8.,Bible.,,Hebrew.,"O.T.;Leviticus XIII, 26-42.",,Cairo Genizah Collection,,,,,,
Y,(PU)gen000008,PU-CJS,PU-CJS,,,Halper 009,103,Online version available.,,,Halper 009,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,,,"[Orient, 11th century?]",26.8 X 24 (torn) cm,1 fol. :,,"Leviticus XVI 18 ??? ????- ibid. 32 ???? ???? where writing is interrupted in the middle of the text, filling only half of one column of the verso (10 lines).",,ruling method: prickings on exterior edge.,,,"Hebrew. Hebrew
Oriental
square.",,Forms part of: Cairo Genizah Collection.,"columns: 2

lines: 19 (1r/a); 20 (1r/b); 10 (1v/a; line 8, part of verse 32, obliterated by erasure).",Parchment,material applied: black ink,"


","torn, holes and damage on all edges except for exterior edge.",,"Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).

Cairo Genizah Collection (Dropsie College. Library).

Sulzberger.",,,,,,[Leviticus 16:18-32] :,,http://hdl.library.upenn.edu/1017.4/2015,http://hdl.library.upenn.edu/1017.4/2015-record,,V?a-yik?ra 16:18-32,09/17/02 EC,,,,Bible.,,Hebrew.,"O.T. Leviticus XVI, 18-32.",,,,,,[Leviticus 16:18-32] :,,,manuscript.,Ṿa-yiḳra 16:18-32,,"[Orient,",11th century?],1 fol. :,"torn, holes and damage on all edges except for exterior edge.",Parchment,26.8 X 24 (torn) cm,material applied: black ink,ruling method: prickings on exterior edge.,"columns: 2 lines: 19 (1r/a); 20 (1r/b); 10 (1v/a; line 8, part of verse 32, obliterated by erasure).","Leviticus XVI 18 אשר לפני- ibid. 32 בגדי הקדש where writing is interrupted in the middle of the text, filling only half of one column of the verso (10 lines).",,,"Halper,;IMHM,",no. 9;no. F38399,Online version available.,,,,,,Hebrew.,Hebrew;Oriental;square.,PU-CJS,,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).;Cairo Genizah Collection (Dropsie College. Library).;Sulzberger.,,,Forms part of: Cairo Genizah Collection.,,,,,,,,,,,,,,,,,,,,,,,,PU-CJS,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,Manuscript.,Halper 9.,,,,,,Cairo Genizah Collection,,,,,,
Y,(PU)gen000009,PU-CJS,PU-CJS,,,Halper 010,104,Online version available.,,,Halper 010,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,,,"[Sefarad, 11th century-13th century?]",cm,1 fol. :,,"The remnants of the first column contain Leviticus XVI 3 ???? - XVI 14 ??????;column 2 contains XVI 21????? - XVI 32 ???? ??; column 3 contains XVII 10 ??? - XVIII 1 ???; small additional fragment from the first column is extant, from XVI 1-2.Parchment written on one side, probably from a Torah Scroll, although it lacks crowns and a full empty line divides between open parshiot. The entire width of two columns, and half of a third are extant.",,ruling method:,,,"Hebrew. Hebrew
Oriental
square hand.",,Forms part of: Cairo Genizah Collection.,"columns: 3

lines: .",Parchment,material applied: black ink,"


",.,,"Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).

Cairo Genizah Collection (Dropsie College. Library).

Sulzberger.",,,,,,"[Torah Scroll, Leviticus 16:3-18:1] :","Torah scrolls. 
			",http://hdl.library.upenn.edu/1017.4/2016,http://hdl.library.upenn.edu/1017.4/2016-record,,V?a-yik?ra 16:3-18:1,09/17/02 EC,,,,Bible.,,Hebrew.,"O.T. Leviticus XVI, 3-XVIII, 1.",,,,,,"[Torah Scroll, Leviticus 16:3-18:1] :",,,manuscript.,Leviticus 16:3-18:1;Ṿa-yiḳra 16:3-18:1,,"[Sefarad,",11th century-13th century?],1 fol. :,.,Parchment,cm,material applied: black ink,ruling method:,columns: 3 lines: .,"The remnants of the first column contain Leviticus XVI 3 בזאת - XVI 14 באצבעו;column 2 contains XVI 21חטאתם - XVI 32 ולבש את; column 3 contains XVII 10 הדם - XVIII 1 משה; small additional fragment from the first column is extant, from XVI 1-2.;Parchment written on one side, probably from a Torah Scroll, although it lacks crowns and a full empty line divides between open parshiot. The entire width of two columns, and half of a third are extant.",,,"Halper,;IMHM,",no. 10;no. F38399,Online version available.,,,,,,Hebrew.,Hebrew;Oriental;square hand.,PU-CJS,,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).;Cairo Genizah Collection (Dropsie College. Library).;Sulzberger.,,,Forms part of: Cairo Genizah Collection.,,,,,,,,,,,,,,,Torah scrolls.,,,,,,,,,PU-CJS,Cairo Genizah Collection (University of Pennsylvania. Center for Advanced Judaic Studies. Library).,Manuscript.,Halper 10.,,,,,,Cairo Genizah Collection,,,,,,
