call_number,file1,file2
ENA 1052,ENA_1052_001_r.tif.jpg,ENA_1052_001_v.tif.jpg
ENA 1052,ENA_1052_002_r.tif.jpg,ENA_1052_002_v.tif.jpg
ENA 1052,ENA_1052_003_r.tif.jpg,ENA_1052_003_v.tif.jpg
ENA 1052,ENA_1052_004_r.tif.jpg,ENA_1052_004_v.tif.jpg
ENA 1052,ENA_1052_005_r.tif.jpg,ENA_1052_005_v.tif.jpg
ENA 1052,ENA_1052_006_r.tif.jpg,ENA_1052_006_v.tif.jpg
ENA 1052,ENA_1052_007_r.tif.jpg,ENA_1052_007_v.tif.jpg
ENA 1052,ENA_1052_008_r.tif.jpg,ENA_1052_008_v.tif.jpg
ENA 1054,ENA_1054_001_r.tif.jpg,ENA_1054_001_v.tif.jpg
ENA 1054,ENA_1054_002_r.tif.jpg,ENA_1054_002_v.tif.jpg
ENA 1054,ENA_1054_003_r.tif.jpg,ENA_1054_003_v.tif.jpg
ENA 1054,ENA_1054_004_r.tif.jpg,ENA_1054_004_v.tif.jpg
ENA 1054,ENA_1054_005_r.tif.jpg,ENA_1054_005_v.tif.jpg
ENA 1054,ENA_1054_006_r.tif.jpg,ENA_1054_006_v.tif.jpg
ENA 1055,ENA_1055_001_r.tif.jpg,ENA_1055_001_v.tif.jpg
ENA 1055,ENA_1055_002_r.tif.jpg,ENA_1055_002_v.tif.jpg
ENA 1055,ENA_1055_003_r.tif.jpg,ENA_1055_003_v.tif.jpg
ENA 1055,ENA_1055_004_r.tif.jpg,ENA_1055_004_v.tif.jpg
ENA 1055,ENA_1055_005_r.tif.jpg,ENA_1055_005_v.tif.jpg
ENA 1055,ENA_1055_006_r.tif.jpg,ENA_1055_006_v.tif.jpg
ENA 1055,ENA_1055_007_r.tif.jpg,ENA_1055_007_v.tif.jpg
ENA 1055,ENA_1055_008_r.tif.jpg,ENA_1055_008_v.tif.jpg
ENA 1055,ENA_1055_009_r.tif.jpg,ENA_1055_009_v.tif.jpg
ENA 1055,ENA_1055_010_r.tif.jpg,ENA_1055_010_v.tif.jpg
ENA 1055,ENA_1055_011_r.tif.jpg,ENA_1055_011_v.tif.jpg
ENA 1055,ENA_1055_012_r.tif.jpg,ENA_1055_012_v.tif.jpg
ENA 1055,ENA_1055_013_r.tif.jpg,ENA_1055_013_v.tif.jpg
ENA 1055,ENA_1055_014_r.tif.jpg,ENA_1055_014_v.tif.jpg
ENA 1055,ENA_1055_015_r.tif.jpg,ENA_1055_015_v.tif.jpg
ENA 1055,ENA_1055_016_r.tif.jpg,ENA_1055_016_v.tif.jpg
ENA 1055,ENA_1055_017_r.tif.jpg,ENA_1055_017_v.tif.jpg
ENA 1055,ENA_1055_018_r.tif.jpg,ENA_1055_018_v.tif.jpg
ENA 1055,ENA_1055_019_r.tif.jpg,ENA_1055_019_v.tif.jpg
ENA 1055,ENA_1055_020_r.tif.jpg,ENA_1055_020_v.tif.jpg
ENA 1055,ENA_1055_021_r.tif.jpg,ENA_1055_021_v.tif.jpg
ENA 1055,ENA_1055_022_r.tif.jpg,ENA_1055_022_v.tif.jpg
ENA 1055,ENA_1055_023_r.tif.jpg,ENA_1055_023_v.tif.jpg
ENA 1055,ENA_1055_024_r.tif.jpg,ENA_1055_024_v.tif.jpg
ENA 1055,ENA_1055_025_r.tif.jpg,ENA_1055_025_v.tif.jpg
ENA 1055,ENA_1055_026_r.tif.jpg,ENA_1055_026_v.tif.jpg
ENA 1055,ENA_1055_027_r.tif.jpg,ENA_1055_027_v.tif.jpg
ENA 1055,ENA_1055_028_r.tif.jpg,ENA_1055_028_v.tif.jpg
ENA 1157,ENA_1157_001_r.tif.jpg,ENA_1157_001_v.tif.jpg
ENA 1157,ENA_1157_002_r.tif.jpg,ENA_1157_002_v.tif.jpg
ENA 1157,ENA_1157_003_r.tif.jpg,ENA_1157_003_v.tif.jpg
ENA 1157,ENA_1157_004_r.tif.jpg,ENA_1157_004_v.tif.jpg
ENA 1157,ENA_1157_005_r.tif.jpg,ENA_1157_005_v.tif.jpg
ENA 1157,ENA_1157_006_r.tif.jpg,ENA_1157_006_v.tif.jpg
ENA 1157,ENA_1157_007_r.tif.jpg,ENA_1157_007_v.tif.jpg
ENA 1157,ENA_1157_008_r.tif.jpg,ENA_1157_008_v.tif.jpg
ENA 1157,ENA_1157_009_r.tif.jpg,ENA_1157_009_v.tif.jpg
ENA 1157,ENA_1157_010_r.tif.jpg,ENA_1157_010_v.tif.jpg
ENA 1157,ENA_1157_011_r.tif.jpg,ENA_1157_011_v.tif.jpg
ENA 1157,ENA_1157_012_r.tif.jpg,ENA_1157_012_v.tif.jpg
ENA 1157,ENA_1157_013_r.tif.jpg,ENA_1157_013_v.tif.jpg
ENA 1157,ENA_1157_014_r.tif.jpg,ENA_1157_014_v.tif.jpg
ENA 1157,ENA_1157_015_r.tif.jpg,ENA_1157_015_v.tif.jpg
ENA 1157,ENA_1157_016_r.tif.jpg,ENA_1157_016_v.tif.jpg
ENA 1157,ENA_1157_017_r.tif.jpg,ENA_1157_017_v.tif.jpg
ENA 1157,ENA_1157_018_r.tif.jpg,ENA_1157_018_v.tif.jpg
ENA 1157,ENA_1157_019_r.tif.jpg,ENA_1157_019_v.tif.jpg
ENA 1157,ENA_1157_020_r.tif.jpg,ENA_1157_020_v.tif.jpg
ENA 1157,ENA_1157_021_r.tif.jpg,ENA_1157_021_v.tif.jpg
ENA 1157,ENA_1157_022_r.tif.jpg,ENA_1157_022_v.tif.jpg
ENA 1157,ENA_1157_023_r.tif.jpg,ENA_1157_023_v.tif.jpg
ENA 1157,ENA_1157_024_r.tif.jpg,ENA_1157_024_v.tif.jpg
ENA 1157,ENA_1157_025_r.tif.jpg,ENA_1157_025_v.tif.jpg
ENA 1157,ENA_1157_026_r.tif.jpg,ENA_1157_026_v.tif.jpg
ENA 1157,ENA_1157_027_r.tif.jpg,ENA_1157_027_v.tif.jpg
ENA 1157,ENA_1157_028_r.tif.jpg,ENA_1157_028_v.tif.jpg
ENA 1157,ENA_1157_029_r.tif.jpg,ENA_1157_029_v.tif.jpg
ENA 1157,ENA_1157_030_r.tif.jpg,ENA_1157_030_v.tif.jpg
ENA 1157,ENA_1157_031_r.tif.jpg,ENA_1157_031_v.tif.jpg
ENA 1157,ENA_1157_032_r.tif.jpg,ENA_1157_032_v.tif.jpg
ENA 1157,ENA_1157_033_r.tif.jpg,ENA_1157_033_v.tif.jpg
ENA 1178,ENA_1178_001_r.tif.jpg,ENA_1178_001_v.tif.jpg
ENA 1178,ENA_1178_002_r.tif.jpg,ENA_1178_002_v.tif.jpg
ENA 1178,ENA_1178_003_r.tif.jpg,ENA_1178_003_v.tif.jpg
ENA 1178,ENA_1178_004_r.tif.jpg,ENA_1178_004_v.tif.jpg
ENA 1178,ENA_1178_005_r.tif.jpg,ENA_1178_005_v.tif.jpg
ENA 1178,ENA_1178_006_r.tif.jpg,ENA_1178_006_v.tif.jpg
ENA 1178,ENA_1178_007_r.tif.jpg,ENA_1178_007_v.tif.jpg
ENA 1178,ENA_1178_008_r.tif.jpg,ENA_1178_008_v.tif.jpg
ENA 1178,ENA_1178_009_r.tif.jpg,ENA_1178_009_v.tif.jpg
ENA 1178,ENA_1178_010_r.tif.jpg,ENA_1178_010_v.tif.jpg
ENA 1178,ENA_1178_011_r.tif.jpg,ENA_1178_011_v.tif.jpg
ENA 1178,ENA_1178_012_r.tif.jpg,ENA_1178_012_v.tif.jpg
ENA 1178,ENA_1178_013_r.tif.jpg,ENA_1178_013_v.tif.jpg
ENA 1178,ENA_1178_014_r.tif.jpg,ENA_1178_014_v.tif.jpg
ENA 1178,ENA_1178_015_r.tif.jpg,ENA_1178_015_v.tif.jpg
ENA 1178,ENA_1178_016_r.tif.jpg,ENA_1178_016_v.tif.jpg
ENA 1178,ENA_1178_017_r.tif.jpg,ENA_1178_017_v.tif.jpg
ENA 1178,ENA_1178_018_r.tif.jpg,ENA_1178_018_v.tif.jpg
ENA 1178,ENA_1178_019_r.tif.jpg,ENA_1178_019_v.tif.jpg
ENA 1178,ENA_1178_020_r.tif.jpg,ENA_1178_020_v.tif.jpg
ENA 1178,ENA_1178_021_r.tif.jpg,ENA_1178_021_v.tif.jpg
ENA 1178,ENA_1178_022_r.tif.jpg,ENA_1178_022_v.tif.jpg
ENA 1178,ENA_1178_023_r.tif.jpg,ENA_1178_023_v.tif.jpg
ENA 1178,ENA_1178_024_r.tif.jpg,ENA_1178_024_v.tif.jpg
ENA 1178,ENA_1178_025_r.tif.jpg,ENA_1178_025_v.tif.jpg
ENA 1178,ENA_1178_026_r.tif.jpg,ENA_1178_026_v.tif.jpg
ENA 1178,ENA_1178_027_r.tif.jpg,ENA_1178_027_v.tif.jpg
ENA 1178,ENA_1178_028_r.tif.jpg,ENA_1178_028_v.tif.jpg
ENA 1178,ENA_1178_029_r.tif.jpg,ENA_1178_029_v.tif.jpg
ENA 1178,ENA_1178_030_r.tif.jpg,ENA_1178_030_v.tif.jpg
ENA 1178,ENA_1178_031_r.tif.jpg,ENA_1178_031_v.tif.jpg
ENA 1178,ENA_1178_032_r.tif.jpg,ENA_1178_032_v.tif.jpg
ENA 1178,ENA_1178_033_r.tif.jpg,ENA_1178_033_v.tif.jpg
ENA 1178,ENA_1178_034_r.tif.jpg,ENA_1178_034_v.tif.jpg
ENA 1178,ENA_1178_035_r.tif.jpg,ENA_1178_035_v.tif.jpg
ENA 1178,ENA_1178_036_r.tif.jpg,ENA_1178_036_v.tif.jpg
ENA 1178,ENA_1178_037_r.tif.jpg,ENA_1178_037_v.tif.jpg
ENA 1178,ENA_1178_038_r.tif.jpg,ENA_1178_038_v.tif.jpg
ENA 1178,ENA_1178_039_r.tif.jpg,ENA_1178_039_v.tif.jpg
ENA 1178,ENA_1178_040_r.tif.jpg,ENA_1178_040_v.tif.jpg
ENA 1178,ENA_1178_041_r.tif.jpg,ENA_1178_041_v.tif.jpg
ENA 1178,ENA_1178_042_r.tif.jpg,ENA_1178_042_v.tif.jpg
ENA 1178,ENA_1178_043_r.tif.jpg,ENA_1178_043_v.tif.jpg
ENA 1178,ENA_1178_044_r.tif.jpg,ENA_1178_044_v.tif.jpg
ENA 1178,ENA_1178_045_r.tif.jpg,ENA_1178_045_v.tif.jpg
ENA 1178,ENA_1178_046_r.tif.jpg,ENA_1178_046_v.tif.jpg
ENA 1178,ENA_1178_047_r.tif.jpg,ENA_1178_047_v.tif.jpg
ENA 1178,ENA_1178_048_r.tif.jpg,ENA_1178_048_v.tif.jpg
ENA 1190,ENA_1190_001_r.tif.jpg,ENA_1190_001_v.tif.jpg
ENA 1190,ENA_1190_002_r.tif.jpg,ENA_1190_002_v.tif.jpg
ENA 1190,ENA_1190_003_r.tif.jpg,ENA_1190_003_v.tif.jpg
ENA 1190,ENA_1190_004_r.tif.jpg,ENA_1190_004_v.tif.jpg
ENA 1192,ENA_1192_001_r.tif.jpg,ENA_1192_001_v.tif.jpg
ENA 1192,ENA_1192_002_r.tif.jpg,ENA_1192_002_v.tif.jpg
ENA 1192,ENA_1192_003_r.tif.jpg,ENA_1192_003_v.tif.jpg
ENA 1192,ENA_1192_004_r.tif.jpg,ENA_1192_004_v.tif.jpg
ENA 1192,ENA_1192_005_r.tif.jpg,ENA_1192_005_v.tif.jpg
ENA 1192,ENA_1192_006_r.tif.jpg,ENA_1192_006_v.tif.jpg
ENA 1192,ENA_1192_007_r.tif.jpg,ENA_1192_007_v.tif.jpg
ENA 1192,ENA_1192_008_r.tif.jpg,ENA_1192_008_v.tif.jpg
ENA 1192,ENA_1192_009_r.tif.jpg,ENA_1192_009_v.tif.jpg
ENA 1192,ENA_1192_010_r.tif.jpg,ENA_1192_010_v.tif.jpg
ENA 1194,ENA_1194_001_r.tif.jpg,ENA_1194_001_v.tif.jpg
ENA 1194,ENA_1194_002_r.tif.jpg,ENA_1194_002_v.tif.jpg
ENA 1194,ENA_1194_003_r.tif.jpg,ENA_1194_003_v.tif.jpg
ENA 1194,ENA_1194_004_r.tif.jpg,ENA_1194_004_v.tif.jpg
ENA 1195,ENA_1195_001_r.tif.jpg,ENA_1195_001_v.tif.jpg
ENA 1195,ENA_1195_002_r.tif.jpg,ENA_1195_002_v.tif.jpg
ENA 1195,ENA_1195_003_r.tif.jpg,ENA_1195_003_v.tif.jpg
ENA 1195,ENA_1195_004_r.tif.jpg,ENA_1195_004_v.tif.jpg
ENA 1195,ENA_1195_005_r.tif.jpg,ENA_1195_005_v.tif.jpg
ENA 1195,ENA_1195_006_r.tif.jpg,ENA_1195_006_v.tif.jpg
ENA 1195,ENA_1195_007_r.tif.jpg,ENA_1195_007_v.tif.jpg
ENA 1195,ENA_1195_008_r.tif.jpg,ENA_1195_008_v.tif.jpg
ENA 1196,ENA_1196_001_r.tif.jpg,ENA_1196_001_v.tif.jpg
ENA 1196,ENA_1196_002_r.tif.jpg,ENA_1196_002_v.tif.jpg
ENA 1196,ENA_1196_003_r.tif.jpg,ENA_1196_003_v.tif.jpg
ENA 1196,ENA_1196_004_r.tif.jpg,ENA_1196_004_v.tif.jpg
ENA 1200,ENA_1200_001_r.tif.jpg,ENA_1200_001_v.tif.jpg
ENA 1200,ENA_1200_002_r.tif.jpg,ENA_1200_002_v.tif.jpg
ENA 1200,ENA_1200_003_r.tif.jpg,ENA_1200_003_v.tif.jpg
ENA 1200,ENA_1200_004_r.tif.jpg,ENA_1200_004_v.tif.jpg
ENA 1208,ENA_1208_001_r.tif.jpg,ENA_1208_001_v.tif.jpg
ENA 1208,ENA_1208_002_r.tif.jpg,ENA_1208_002_v.tif.jpg
ENA 1208,ENA_1208_003_r.tif.jpg,ENA_1208_003_v.tif.jpg
ENA 1208,ENA_1208_004_r.tif.jpg,ENA_1208_004_v.tif.jpg
ENA 1208,ENA_1208_005_r.tif.jpg,ENA_1208_005_v.tif.jpg
ENA 1208,ENA_1208_006_r.tif.jpg,ENA_1208_006_v.tif.jpg
