call_number,file1,file2
ENA NS 10 001,ENA_NS_10_001_r.tif.jpg,ENA_NS_10_001_v.tif.jpg
ENA NS 10 002,ENA_NS_10_002_r.tif.jpg,ENA_NS_10_002_v.tif.jpg
ENA NS 10 003,ENA_NS_10_003_r.tif.jpg,ENA_NS_10_003_v.tif.jpg
ENA NS 10 004,ENA_NS_10_004_r.tif.jpg,ENA_NS_10_004_v.tif.jpg
ENA NS 10 005,ENA_NS_10_005_r.tif.jpg,ENA_NS_10_005_v.tif.jpg
ENA NS 10 006,ENA_NS_10_006_r.tif.jpg,ENA_NS_10_006_v.tif.jpg
ENA NS 10 007,ENA_NS_10_007_r.tif.jpg,ENA_NS_10_007_v.tif.jpg
ENA NS 10 008,ENA_NS_10_008_r.tif.jpg,ENA_NS_10_008_v.tif.jpg
ENA NS 10 009,ENA_NS_10_009_r.tif.jpg,ENA_NS_10_009_v.tif.jpg
ENA NS 10 010,ENA_NS_10_010_r.tif.jpg,ENA_NS_10_010_v.tif.jpg
ENA NS 10 011,ENA_NS_10_011_r.tif.jpg,ENA_NS_10_011_v.tif.jpg
ENA NS 10 012,ENA_NS_10_012_r.tif.jpg,ENA_NS_10_012_v.tif.jpg
ENA NS 10 013,ENA_NS_10_013_r.tif.jpg,ENA_NS_10_013_v.tif.jpg
ENA NS 10 014,ENA_NS_10_014_r.tif.jpg,ENA_NS_10_014_v.tif.jpg
ENA NS 10 015,ENA_NS_10_015_r.tif.jpg,ENA_NS_10_015_v.tif.jpg
ENA NS 10 016,ENA_NS_10_016_r.tif.jpg,ENA_NS_10_016_v.tif.jpg
ENA NS 10 017,ENA_NS_10_017_r.tif.jpg,ENA_NS_10_017_v.tif.jpg
ENA NS 10 018,ENA_NS_10_018_r.tif.jpg,ENA_NS_10_018_v.tif.jpg
ENA NS 10 019,ENA_NS_10_019_r.tif.jpg,ENA_NS_10_019_v.tif.jpg
ENA NS 10 020,ENA_NS_10_020_r.tif.jpg,ENA_NS_10_020_v.tif.jpg
ENA NS 10 021,ENA_NS_10_021_r.tif.jpg,ENA_NS_10_021_v.tif.jpg
ENA NS 10 022,ENA_NS_10_022_r.tif.jpg,ENA_NS_10_022_v.tif.jpg
ENA NS 10 023,ENA_NS_10_023_r.tif.jpg,ENA_NS_10_023_v.tif.jpg
ENA NS 10 024,ENA_NS_10_024_r.tif.jpg,ENA_NS_10_024_v.tif.jpg
ENA NS 10 025,ENA_NS_10_025_r.tif.jpg,ENA_NS_10_025_v.tif.jpg
ENA NS 10 026,ENA_NS_10_026_r.tif.jpg,ENA_NS_10_026_v.tif.jpg
ENA NS 10 027,ENA_NS_10_027_r.tif.jpg,ENA_NS_10_027_v.tif.jpg
ENA NS 10 028,ENA_NS_10_028_r.tif.jpg,ENA_NS_10_028_v.tif.jpg
ENA NS 10 029,ENA_NS_10_029_r.tif.jpg,ENA_NS_10_029_v.tif.jpg
ENA NS 10 030,ENA_NS_10_030_r.tif.jpg,ENA_NS_10_030_v.tif.jpg
ENA NS 10 031,ENA_NS_10_031_r.tif.jpg,ENA_NS_10_031_v.tif.jpg
ENA NS 10 032,ENA_NS_10_032_r.tif.jpg,ENA_NS_10_032_v.tif.jpg
ENA NS 10 033,ENA_NS_10_033_r.tif.jpg,ENA_NS_10_033_v.tif.jpg
ENA NS 10 034,ENA_NS_10_034_r.tif.jpg,ENA_NS_10_034_v.tif.jpg
ENA NS 10 035,ENA_NS_10_035_r.tif.jpg,ENA_NS_10_035_v.tif.jpg
ENA NS 10 036,ENA_NS_10_036_r.tif.jpg,ENA_NS_10_036_v.tif.jpg
